"","data","ano","mes","tipo","descrição","valor"
"1283",2016-09-26,"2016","Sep","equipamentos","galaxy s6 (1/10)",199.9
"1284",2016-09-26,"2016","Sep","equipamentos","ferragens marukai ltda",24.3
"1285",2016-09-26,"2016","Sep","fast food","mc cafe-aricanduv",7
"1286",2016-09-26,"2016","Sep","alimentação","extra 1309-arican",45.41
"1287",2016-09-26,"2016","Sep","fast food","pastelaria naito",21.5
"1288",2016-09-26,"2016","Sep","alimentação","sacolao saude st",58.65
"1289",2016-09-26,"2016","Sep","pet","pet shop dr hato",70.7
"1290",2016-09-26,"2016","Sep","transporte","carrefour pso 409",102.49
"1291",2016-09-26,"2016","Sep","alimentação","carrefour sto 248",47.64
"1292",2016-09-26,"2016","Sep","fast food","espiga lanches",16
"1293",2016-09-26,"2016","Sep","alimentação","coop capuava",34.61
"1294",2016-09-26,"2016","Sep","transporte","gasolina ",32
"1295",2016-09-26,"2016","Sep","pet","pet shop kakazu",22.75
"1296",2016-09-26,"2016","Sep","fast food","espiga lanches",18.5
"1297",2016-09-26,"2016","Sep","fast food","pao do marques",25.4
"1298",2016-09-26,"2016","Sep","transporte","a p irmaos batist",33.99
"1299",2016-09-26,"2016","Sep","transporte","carrefour pso 409",91.62
"1300",2016-09-26,"2016","Sep","alimentação","sacolao saude st",126.1
"1301",2016-09-26,"2016","Sep","saúde","coop capuava",93.59
"1302",2016-09-26,"2016","Sep","saúde","esquina da fe",15.55
"1303",2016-09-26,"2016","Sep","alimentação","coop capuava",59.63
"1304",2016-09-26,"2016","Sep","transporte","carrefour pso 409",88.47
"1305",2016-09-26,"2016","Sep","alimentação","sacolao saude st",46.81
"1306",2016-09-26,"2016","Sep","investimento","facebk*jbleeasrn2",30.58
"1307",2016-09-26,"2016","Sep","fast food","mc donalds gi2",20.5
"1308",2016-09-26,"2016","Sep","lazer","estapar aero guarulhos",32
"1309",2016-09-26,"2016","Sep","saúde","coop capuava",29.27
"1310",2016-09-26,"2016","Sep","alimentação","panificad",10
"1311",2016-09-26,"2016","Sep","pet","pet shop kakazu",47
"1312",2016-09-26,"2016","Sep","transporte","carrefour pso 409",89.36
"1313",2016-09-26,"2016","Sep","fast food","wilson cardoso",45
"1314",2016-09-26,"2016","Sep","alimentação","mercadinho a mine",11.48
"1315",2016-09-26,"2016","Sep","pet","lord s dog",160
"1316",2016-09-26,"2016","Sep","transporte","shell",32
"1317",2016-09-26,"2016","Sep","saúde"," extra farma loja 18 ",11.8
"1318",2016-09-26,"2016","Sep","transporte"," a posto i batistucci l ",38
